No,Nama,Rating,Comments,Link
61,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,3,"Mintanya ungu dikirim putih, yg amanah dong, kmrn blm dibuka, ini baru dibuka, Gk sesuai Sma yg dipesen",https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
62,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,3,masih di test untuk charger klo dalam waktu satu jam lampu indikator power bank nya masih tetap segitu aja kg penuh penuh brti kualitas nya jelek/buruk,https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
63,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,3,"Ya lain kali boleh diberi bubble wrap biar lebih aman kak, soalnya kebanting banting pastinya, jadi ga aman kondisi powerbanknya",https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
64,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,3,Keliatannya baik tp syangnya ga bisa dipakai untuk type c.. Jdi harus beli kabel data lagi...,https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
65,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,3,"Pengemasan ga safety, masa ga dipakein bubble wrap sehelai pun:(",https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
66,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,3,"tidak suport iphone apa gimana, gabisa dipake cas iphone terus packing an jelek masa pake kardus doang gapake bublewrap",https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
67,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,3,"Chargingnya lama banget ya. Ini aku tinggal dari sore sampe jam 10 malem belum penuh. Yang lainnya ok. :""",https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
68,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,3,bener sesuai review banyak yg blg type c nya tidak bisa digunakan. untung saya ad colokan usb jadi tetep bisa pake penjual respon baik. minta gojek skrg langsung digojek,https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
69,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,3,"Colokan usb-c nya gak berfungsi. Tp masi bs pake colokan usb. Its ok, smg awet. Terima kasih",https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
70,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,3,Gak sempet foto. Kabel data nya gak bisa masuk harus beli yang baru,https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
